Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,4.250000,4.310000,4.220000,4.220000,4.220000,7800
2020-02-25,4.110000,4.230000,3.800000,3.830000,3.830000,7800
2020-02-26,3.730000,3.840000,3.720000,3.720000,3.720000,4900
2020-02-27,3.680000,3.680000,3.590000,3.650000,3.650000,3700
2020-02-28,3.500000,3.670000,3.500000,3.670000,3.670000,1100
2020-03-02,3.780000,3.800000,3.670000,3.700000,3.700000,4000
2020-03-03,3.750000,4.600000,3.700000,4.400000,4.400000,26700
2020-03-04,4.420000,4.480000,4.010000,4.010000,4.010000,20200
2020-03-05,3.860000,3.860000,3.750000,3.750000,3.750000,1800
2020-03-06,3.900000,4.290000,3.900000,4.280000,4.280000,800
2020-03-09,4.280000,4.280000,4.280000,4.280000,4.280000,0
2020-03-10,3.530000,4.020000,3.530000,3.620000,3.620000,1300
2020-03-11,3.600000,3.600000,2.810000,3.600000,3.600000,5500
2020-03-12,3.290000,3.800000,3.060000,3.800000,3.800000,9800
2020-03-13,4.000000,4.000000,3.310000,3.440000,3.440000,1400
2020-03-16,3.670000,3.670000,3.670000,3.670000,3.670000,600
2020-03-17,3.750000,3.750000,2.910000,2.910000,2.910000,12400
2020-03-18,3.480000,3.480000,2.150000,2.200000,2.200000,12000
2020-03-19,2.300000,2.990000,2.100000,2.990000,2.990000,1400
2020-03-20,3.020000,3.050000,2.380000,3.050000,3.050000,1600
2020-03-23,2.970000,2.970000,2.640000,2.640000,2.640000,1700
2020-03-24,2.440000,3.590000,2.440000,2.750000,2.750000,6200
2020-03-25,2.950000,3.160000,2.810000,2.850000,2.850000,4800
2020-03-26,2.750000,2.750000,2.700000,2.730000,2.730000,2000
2020-03-27,2.870000,2.870000,2.650000,2.760000,2.760000,8500
2020-03-30,3.390000,3.400000,2.610000,3.400000,3.400000,15300
2020-03-31,3.490000,3.810000,3.100000,3.390000,3.390000,12700
2020-04-01,3.250000,3.400000,3.070000,3.400000,3.400000,5500
2020-04-02,2.860000,3.380000,2.850000,3.300000,3.300000,3000
2020-04-03,2.890000,3.390000,2.890000,3.020000,3.020000,2600
2020-04-06,2.970000,3.000000,2.970000,3.000000,3.000000,1200
2020-04-07,2.990000,2.990000,2.990000,2.990000,2.990000,700
2020-04-08,2.990000,3.290000,2.860000,3.000000,3.000000,1400
2020-04-09,2.920000,3.070000,2.920000,3.070000,3.070000,800
2020-04-13,3.200000,3.360000,3.010000,3.010000,3.010000,2400
2020-04-14,3.250000,3.390000,3.080000,3.390000,3.390000,1900
2020-04-15,3.260000,3.260000,3.260000,3.260000,3.260000,500
2020-04-16,3.090000,3.220000,3.090000,3.100000,3.100000,1300
2020-04-17,3.050000,3.170000,2.850000,3.170000,3.170000,2600
2020-04-20,2.980000,3.450000,2.980000,3.430000,3.430000,1500
2020-04-21,3.430000,3.430000,3.430000,3.430000,3.430000,0
2020-04-22,3.430000,3.500000,3.100000,3.500000,3.500000,1800
2020-04-23,3.500000,3.600000,3.500000,3.600000,3.600000,700
2020-04-24,3.480000,4.000000,3.220000,3.430000,3.430000,7100
2020-04-27,3.370000,3.400000,3.370000,3.380000,3.380000,2300
2020-04-28,3.390000,6.350000,3.390000,5.180000,5.180000,238500
2020-04-29,5.200000,5.200000,4.610000,4.990000,4.990000,65700
2020-04-30,5.000000,5.000000,4.610000,4.750000,4.750000,19100
2020-05-01,4.750000,4.840000,4.620000,4.720000,4.720000,7000
2020-05-04,4.660000,5.000000,4.060000,4.650000,4.650000,5800
2020-05-05,5.150000,5.800000,4.650000,4.650000,4.650000,83400
2020-05-06,4.920000,4.920000,3.770000,4.140000,4.140000,17100
2020-05-07,4.630000,4.880000,3.960000,4.740000,4.740000,16700
2020-05-08,4.150000,4.440000,4.150000,4.260000,4.260000,5700
2020-05-11,4.070000,4.270000,4.070000,4.070000,4.070000,8400
2020-05-12,3.710000,4.040000,3.710000,3.810000,3.810000,13900
2020-05-13,4.250000,4.560000,4.050000,4.100000,4.100000,1200
2020-05-14,4.100000,4.100000,3.950000,4.090000,4.090000,3700
2020-05-15,4.050000,4.440000,3.800000,4.430000,4.430000,4900
2020-05-18,4.740000,4.750000,4.100000,4.100000,4.100000,28200
2020-05-19,4.250000,4.690000,4.170000,4.250000,4.250000,4100
2020-05-20,4.450000,4.450000,4.440000,4.440000,4.440000,800
2020-05-21,4.200000,4.200000,4.200000,4.200000,4.200000,900
2020-05-22,4.510000,4.510000,4.100000,4.200000,4.200000,3100
2020-05-26,4.270000,4.370000,4.250000,4.250000,4.250000,1500
2020-05-27,4.320000,4.320000,4.320000,4.320000,4.320000,500
2020-05-28,4.100000,4.130000,4.100000,4.120000,4.120000,4300
2020-05-29,4.110000,4.110000,4.050000,4.070000,4.070000,3100
2020-06-01,4.290000,4.290000,4.290000,4.290000,4.290000,500
2020-06-02,4.110000,4.240000,4.110000,4.130000,4.130000,900
2020-06-03,4.190000,4.200000,4.100000,4.130000,4.130000,1500
2020-06-04,4.050000,4.200000,3.980000,4.140000,4.140000,3100
2020-06-05,4.140000,4.140000,4.140000,4.140000,4.140000,700
2020-06-08,4.140000,4.140000,3.680000,3.800000,3.800000,28100
2020-06-09,3.790000,3.800000,3.700000,3.750000,3.750000,11600
2020-06-10,3.750000,3.750000,3.570000,3.650000,3.650000,13900
2020-06-11,3.950000,3.950000,3.570000,3.570000,3.570000,8900
2020-06-12,3.570000,3.870000,3.340000,3.450000,3.450000,15600
2020-06-15,3.800000,3.800000,3.200000,3.450000,3.450000,33900
2020-06-16,3.400000,3.400000,2.890000,2.900000,2.900000,203600
2020-06-17,2.040000,2.250000,2.010000,2.120000,2.120000,2138600
2020-06-18,2.170000,2.330000,2.150000,2.270000,2.270000,634700
2020-06-19,2.270000,2.340000,2.150000,2.290000,2.290000,421900
2020-06-22,2.470000,2.470000,2.220000,2.280000,2.280000,369100
2020-06-23,2.300000,2.390000,2.010000,2.170000,2.170000,650800
2020-06-24,2.790000,3.050000,2.360000,2.520000,2.520000,2800700
2020-06-25,2.650000,2.650000,2.400000,2.490000,2.490000,279100
2020-06-26,2.530000,2.650000,2.410000,2.480000,2.480000,369300
2020-06-29,2.560000,2.560000,2.280000,2.370000,2.370000,279600
2020-06-30,2.390000,2.420000,2.300000,2.400000,2.400000,112800
2020-07-01,2.430000,2.850000,2.320000,2.450000,2.450000,599500
2020-07-02,2.400000,2.430000,2.270000,2.350000,2.350000,195000
2020-07-06,2.360000,2.390000,2.300000,2.340000,2.340000,100200
2020-07-07,2.290000,2.380000,2.250000,2.330000,2.330000,109500
2020-07-08,2.350000,2.400000,2.290000,2.380000,2.380000,126700
2020-07-09,2.380000,2.520000,2.310000,2.500000,2.500000,289700
2020-07-10,2.430000,2.520000,2.400000,2.450000,2.450000,167500
2020-07-13,2.480000,2.500000,2.350000,2.460000,2.460000,153200
2020-07-14,2.450000,2.450000,2.370000,2.370000,2.370000,50400
2020-07-15,2.360000,2.410000,2.300000,2.390000,2.390000,89200
2020-07-16,2.400000,2.440000,2.310000,2.340000,2.340000,67400
2020-07-17,2.350000,2.470000,2.340000,2.380000,2.380000,158300
2020-07-20,2.460000,2.500000,2.380000,2.460000,2.460000,115300
2020-07-21,2.490000,2.640000,2.410000,2.580000,2.580000,230700
2020-07-22,2.580000,2.840000,2.580000,2.800000,2.800000,331200
2020-07-23,2.730000,2.800000,2.630000,2.690000,2.690000,108700
2020-07-24,2.590000,2.700000,2.470000,2.650000,2.650000,74000
2020-07-27,2.630000,2.650000,2.460000,2.510000,2.510000,90300
2020-07-28,2.500000,2.510000,2.450000,2.490000,2.490000,24900
2020-07-29,2.480000,2.480000,2.390000,2.440000,2.440000,86000
2020-07-30,2.440000,2.690000,2.400000,2.600000,2.600000,144700
2020-07-31,2.590000,2.640000,2.500000,2.500000,2.500000,61300
2020-08-03,2.540000,2.560000,2.460000,2.480000,2.480000,39600
2020-08-04,2.500000,2.580000,2.460000,2.570000,2.570000,47600
2020-08-05,2.550000,2.790000,2.520000,2.740000,2.740000,308600
2020-08-06,2.720000,2.920000,2.660000,2.720000,2.720000,341100
2020-08-07,2.740000,2.750000,2.530000,2.670000,2.670000,161300
2020-08-10,2.590000,2.790000,2.580000,2.790000,2.790000,471000
2020-08-11,2.810000,2.810000,2.610000,2.620000,2.620000,154600
2020-08-12,2.660000,2.690000,2.400000,2.450000,2.450000,195200
2020-08-13,2.430000,2.590000,2.250000,2.410000,2.410000,272600
2020-08-14,2.400000,2.420000,2.260000,2.340000,2.340000,97800
2020-08-17,2.350000,2.490000,2.250000,2.470000,2.470000,100000
2020-08-18,2.450000,2.510000,2.320000,2.400000,2.400000,90500
2020-08-19,2.400000,2.490000,2.400000,2.490000,2.490000,78500
2020-08-20,2.500000,2.680000,2.440000,2.520000,2.520000,177400
2020-08-21,2.560000,2.630000,2.500000,2.560000,2.560000,120800
2020-08-24,2.610000,2.610000,2.310000,2.340000,2.340000,154300
2020-08-25,2.380000,2.420000,2.260000,2.320000,2.320000,102400
2020-08-26,2.300000,2.410000,2.300000,2.330000,2.330000,98900
2020-08-27,2.370000,2.380000,2.250000,2.310000,2.310000,90800
2020-08-28,2.280000,2.390000,2.260000,2.340000,2.340000,93500
2020-08-31,2.400000,2.400000,2.300000,2.350000,2.350000,66200
2020-09-01,2.350000,2.390000,2.210000,2.370000,2.370000,208700
2020-09-02,2.340000,2.340000,2.190000,2.330000,2.330000,128600
2020-09-03,2.290000,2.310000,2.150000,2.230000,2.230000,55500
2020-09-04,2.230000,2.230000,2.050000,2.050000,2.050000,154000
2020-09-08,2.060000,2.220000,2.030000,2.160000,2.160000,72700
2020-09-09,2.180000,2.270000,2.180000,2.260000,2.260000,70400
2020-09-10,2.270000,2.350000,2.190000,2.200000,2.200000,68900
2020-09-11,2.170000,2.290000,2.150000,2.170000,2.170000,80600
2020-09-14,2.160000,2.380000,2.160000,2.360000,2.360000,236100
2020-09-15,2.380000,2.420000,2.270000,2.380000,2.380000,120800
2020-09-16,2.430000,2.450000,2.300000,2.310000,2.310000,102500
2020-09-17,2.310000,2.400000,2.250000,2.340000,2.340000,94400
2020-09-18,2.390000,2.500000,2.390000,2.450000,2.450000,106300
2020-09-21,2.540000,2.650000,2.390000,2.610000,2.610000,213700
2020-09-22,2.610000,2.640000,2.440000,2.470000,2.470000,128900
2020-09-23,2.480000,2.560000,2.350000,2.410000,2.410000,96800
2020-09-24,2.380000,2.440000,2.200000,2.400000,2.400000,116400
2020-09-25,2.300000,2.380000,2.300000,2.370000,2.370000,28600
2020-09-28,2.360000,2.360000,2.230000,2.280000,2.280000,33900
2020-09-29,2.340000,2.420000,2.210000,2.320000,2.320000,97500
2020-09-30,2.220000,2.400000,2.220000,2.270000,2.270000,75000
2020-10-01,2.270000,2.390000,2.220000,2.390000,2.390000,99700
2020-10-02,2.250000,2.320000,2.220000,2.310000,2.310000,50400
2020-10-05,2.390000,2.410000,2.310000,2.350000,2.350000,42100
2020-10-06,2.440000,2.440000,2.280000,2.320000,2.320000,45400
2020-10-07,2.370000,2.380000,2.320000,2.330000,2.330000,32600
2020-10-08,2.350000,2.380000,2.300000,2.330000,2.330000,36400
2020-10-09,2.360000,2.400000,2.250000,2.350000,2.350000,76000
2020-10-12,2.370000,2.420000,2.310000,2.380000,2.380000,76700
2020-10-13,2.370000,2.450000,2.370000,2.400000,2.400000,38800
2020-10-14,2.430000,2.450000,2.330000,2.360000,2.360000,30300
2020-10-15,2.360000,2.400000,2.330000,2.370000,2.370000,48300
2020-10-16,2.370000,2.370000,2.290000,2.300000,2.300000,19100
2020-10-19,2.330000,2.330000,2.280000,2.300000,2.300000,27000
2020-10-20,2.280000,2.310000,2.250000,2.280000,2.280000,42300
2020-10-21,2.320000,2.320000,2.170000,2.240000,2.240000,32200
2020-10-22,2.200000,2.270000,2.130000,2.160000,2.160000,73100
2020-10-23,2.310000,2.310000,2.160000,2.190000,2.190000,46500
2020-10-26,2.250000,2.290000,2.090000,2.130000,2.130000,112300
2020-10-27,2.150000,2.150000,2.020000,2.050000,2.050000,55200
2020-10-28,2.050000,2.120000,2.000000,2.040000,2.040000,92900
2020-10-29,2.010000,2.110000,1.990000,2.050000,2.050000,72500
2020-10-30,2.030000,2.070000,1.930000,1.990000,1.990000,64500
2020-11-02,1.990000,2.020000,1.920000,1.950000,1.950000,49400
2020-11-03,2.010000,2.090000,1.920000,2.090000,2.090000,36800
2020-11-04,2.100000,2.100000,1.940000,2.000000,2.000000,68800
2020-11-05,1.990000,2.010000,1.940000,1.950000,1.950000,38400
2020-11-06,1.980000,1.980000,1.910000,1.920000,1.920000,49700
2020-11-09,1.940000,1.970000,1.920000,1.920000,1.920000,41600
2020-11-10,1.930000,2.070000,1.930000,2.040000,2.040000,49500
2020-11-11,2.070000,2.080000,2.000000,2.080000,2.080000,19700
2020-11-12,2.150000,2.150000,2.060000,2.060000,2.060000,63200
2020-11-13,2.110000,2.180000,2.030000,2.170000,2.170000,88400
2020-11-16,2.230000,2.250000,2.160000,2.230000,2.230000,58500
2020-11-17,2.180000,2.260000,2.160000,2.240000,2.240000,32600
2020-11-18,2.210000,2.240000,2.140000,2.180000,2.180000,67200
2020-11-19,2.210000,2.250000,2.170000,2.220000,2.220000,42200
2020-11-20,2.250000,2.430000,2.230000,2.400000,2.400000,79200
2020-11-23,2.390000,2.390000,2.260000,2.350000,2.350000,69000
2020-11-24,2.350000,2.390000,2.250000,2.260000,2.260000,61600
2020-11-25,2.300000,2.380000,2.250000,2.370000,2.370000,40600
2020-11-27,2.380000,2.380000,2.270000,2.350000,2.350000,28700
2020-11-30,2.400000,2.450000,2.310000,2.350000,2.350000,43700
2020-12-01,2.370000,2.490000,2.370000,2.470000,2.470000,138800
2020-12-02,2.490000,2.500000,2.400000,2.440000,2.440000,69400
2020-12-03,2.490000,2.600000,2.450000,2.550000,2.550000,183700
2020-12-04,2.600000,2.650000,2.530000,2.590000,2.590000,114100
2020-12-07,2.630000,2.680000,2.560000,2.590000,2.590000,91000
