Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,335000.000000,336163.000000,330940.000000,333190.000000,333190.000000,7
2020-02-25,333195.000000,335000.000000,325900.000000,328000.000000,328000.000000,6
2020-02-26,328200.000000,330603.000000,324301.000000,324301.000000,324301.000000,4
2020-02-27,320480.000000,322292.000000,312501.000000,312619.000000,312619.000000,5
2020-02-28,304000.000000,310337.000000,300750.000000,309096.000000,309096.000000,7
2020-03-02,314000.000000,327937.000000,308100.000000,324500.000000,324500.000000,5
2020-03-03,322550.000000,327000.000000,310000.000000,313914.000000,313914.000000,4
2020-03-04,321000.000000,327246.000000,314607.000000,326125.000000,326125.000000,4
2020-03-05,318605.000000,318605.000000,311250.000000,315000.000000,315000.000000,4
2020-03-06,309000.000000,311258.000000,304767.000000,310894.000000,310894.000000,5
2020-03-09,292300.000000,298670.000000,290000.000000,290005.000000,290005.000000,11
2020-03-10,301950.000000,304199.000000,293500.000000,303561.000000,303561.000000,7
2020-03-11,296550.000000,297473.000000,290400.000000,292130.000000,292130.000000,6
2020-03-12,276550.000000,282000.000000,266800.000000,272000.000000,272000.000000,19
2020-03-13,283500.000000,295972.000000,270210.000000,289000.000000,289000.000000,11
2020-03-16,260000.000000,283480.000000,260000.000000,268000.000000,268000.000000,7
2020-03-17,275000.000000,280619.000000,268000.000000,280248.000000,280248.000000,12
2020-03-18,266000.000000,270874.000000,251101.000000,256300.000000,256300.000000,15
2020-03-19,251100.000000,264440.000000,250000.000000,261690.000000,261690.000000,11
2020-03-20,265000.000000,265000.000000,251000.000000,257346.000000,257346.000000,12
2020-03-23,249000.000000,250000.000000,239440.000000,240000.000000,240000.000000,13
2020-03-24,255226.000000,268500.000000,254500.000000,267090.000000,267090.000000,12
2020-03-25,269200.000000,283325.000000,262710.000000,270759.000000,270759.000000,10
2020-03-26,270800.000000,277163.000000,269500.000000,276095.000000,276095.000000,8
2020-03-27,267600.000000,276363.000000,265337.000000,268126.000000,268126.000000,6
2020-03-30,269410.000000,276000.000000,267020.000000,274021.000000,274021.000000,4
2020-03-31,272636.000000,279140.000000,270845.000000,272000.000000,272000.000000,5
2020-04-01,265900.000000,267850.000000,261180.000000,261250.000000,261250.000000,9
2020-04-02,262131.000000,271475.000000,261895.000000,271475.000000,271475.000000,9
2020-04-03,268700.000000,270205.000000,263242.000000,267954.000000,267954.000000,3
2020-04-06,273001.000000,279500.000000,271444.000000,277260.000000,277260.000000,6
2020-04-07,285010.000000,287000.000000,276700.000000,276700.000000,276700.000000,7
2020-04-08,280850.000000,287000.000000,278280.000000,286999.000000,286999.000000,4
2020-04-09,290950.000000,295765.000000,287220.000000,290500.000000,290500.000000,6
2020-04-13,290950.000000,290950.000000,279060.000000,282800.000000,282800.000000,6
2020-04-14,291400.000000,291533.000000,286393.000000,289730.000000,289730.000000,7
2020-04-15,284500.000000,284500.000000,281201.000000,283750.000000,283750.000000,6
2020-04-16,283750.000000,283751.000000,278800.000000,282282.000000,282282.000000,8
2020-04-17,289585.000000,289585.000000,283600.000000,284400.000000,284400.000000,8
2020-04-20,282200.000000,283800.000000,281000.000000,282800.000000,282800.000000,7
2020-04-21,275950.000000,278610.000000,275000.000000,275750.000000,275750.000000,7
2020-04-22,280000.000000,280888.000000,278000.000000,279660.000000,279660.000000,7
2020-04-23,280000.000000,280888.000000,277268.000000,278750.000000,278750.000000,6
2020-04-24,280100.000000,280130.000000,276602.000000,279460.000000,279460.000000,5
2020-04-27,280911.000000,284039.000000,279855.000000,281264.000000,281264.000000,8
2020-04-28,285400.000000,286480.000000,280600.000000,280600.000000,280600.000000,6
2020-04-29,286400.000000,288888.000000,283800.000000,284749.000000,284749.000000,8
2020-04-30,283200.000000,284453.000000,280280.000000,281700.000000,281700.000000,5
2020-05-01,278121.000000,278710.000000,272520.000000,273975.000000,273975.000000,6
2020-05-04,270000.000000,270000.000000,265000.000000,267080.000000,267080.000000,6
2020-05-05,269999.000000,270000.000000,264280.000000,264280.000000,264280.000000,5
2020-05-06,265000.000000,266400.000000,259100.000000,259100.000000,259100.000000,5
2020-05-07,260110.000000,263710.000000,260110.000000,260750.000000,260750.000000,4
2020-05-08,264566.000000,266105.000000,261990.000000,265280.000000,265280.000000,3
2020-05-11,264320.000000,264398.000000,260901.000000,261601.000000,261601.000000,4
2020-05-12,262701.000000,263800.000000,260000.000000,260000.000000,260000.000000,3
2020-05-13,259499.000000,259499.000000,255000.000000,255715.000000,255715.000000,6
2020-05-14,254000.000000,257262.000000,250926.000000,256230.000000,256230.000000,4
2020-05-15,254586.000000,256100.000000,252801.000000,253501.000000,253501.000000,3
2020-05-18,260000.000000,265002.000000,258511.000000,262900.000000,262900.000000,6
2020-05-19,260800.000000,262200.000000,258700.000000,258700.000000,258700.000000,3
2020-05-20,261880.000000,265130.000000,261500.000000,264100.000000,264100.000000,2
2020-05-21,264200.000000,264930.000000,261641.000000,261906.000000,261906.000000,3
2020-05-22,262000.000000,263094.000000,259990.000000,263094.000000,263094.000000,3
2020-05-26,269900.000000,272500.000000,268095.000000,270330.000000,270330.000000,6
2020-05-27,276755.000000,279000.000000,275850.000000,278495.000000,278495.000000,5
2020-05-28,280899.000000,280899.000000,276000.000000,277035.000000,277035.000000,4
2020-05-29,275000.000000,278640.000000,273850.000000,278640.000000,278640.000000,4
2020-06-01,278167.000000,278167.000000,275000.000000,275600.000000,275600.000000,3
2020-06-02,275601.000000,279410.000000,275601.000000,278560.000000,278560.000000,4
2020-06-03,283100.000000,287370.000000,281800.000000,286090.000000,286090.000000,4
