Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,12.720000,12.800000,11.440000,11.720000,11.720000,7667000
2020-02-25,11.584000,11.590000,10.530000,10.535000,10.535000,7397500
2020-02-26,10.150000,10.430000,9.910000,10.360000,10.360000,8500300
2020-02-27,10.490000,10.840000,9.670000,10.510000,10.510000,6697600
2020-02-28,9.700000,10.100000,9.560000,9.850000,9.850000,4698500
2020-03-02,10.480000,10.640000,10.150000,10.355000,10.355000,4341200
2020-03-03,10.270000,10.420000,9.450000,10.000000,10.000000,4127400
2020-03-04,10.080000,10.290000,9.960000,10.040000,10.040000,2981100
2020-03-05,10.430000,10.990000,10.050000,10.930000,10.930000,6350400
2020-03-06,10.927000,11.110000,10.260000,10.580000,10.580000,4238400
2020-03-09,8.990000,9.100000,8.210000,8.870000,8.870000,9051900
2020-03-10,9.410000,9.490000,8.520000,9.260000,9.260000,4923900
2020-03-11,9.000000,9.050000,8.150000,8.610000,8.610000,5530800
2020-03-12,6.970000,7.350000,5.880000,6.420000,6.420000,11750500
2020-03-13,6.920000,7.500000,5.610000,6.320000,6.320000,10933600
2020-03-16,5.130000,5.940000,5.010000,5.539000,5.539000,7240500
2020-03-17,5.900000,6.440000,5.620000,6.100000,6.100000,5408700
2020-03-18,5.870000,6.090000,5.550000,6.010000,6.010000,5589700
2020-03-19,6.980000,7.530000,6.590000,7.200000,7.200000,8487100
2020-03-20,7.730000,7.990000,6.650000,7.000000,7.000000,6952100
2020-03-23,7.020000,7.330000,6.860000,7.190000,7.190000,4205000
2020-03-24,7.850000,7.930000,7.450000,7.550000,7.550000,4561500
2020-03-25,7.577000,7.670000,7.250000,7.350000,7.350000,4165800
2020-03-26,7.270000,7.470000,7.050000,7.360000,7.360000,4711500
2020-03-27,7.369000,7.405000,7.110000,7.300000,7.300000,3841200
2020-03-30,7.080000,7.150000,6.910000,7.050000,7.050000,3654400
2020-03-31,7.070000,7.140000,6.940000,7.120000,7.120000,2675500
2020-04-01,6.800000,6.900000,6.410000,6.495000,6.495000,4274800
2020-04-02,7.000000,7.870000,6.980000,7.720000,7.720000,7980600
2020-04-03,7.940000,7.940000,7.250000,7.480000,7.480000,3059800
2020-04-06,7.824000,8.060000,7.710000,7.950000,7.950000,4910400
2020-04-07,8.070000,8.150000,7.610000,7.660000,7.660000,3469900
2020-04-08,7.790000,8.040000,7.700000,7.850000,7.850000,2370500
2020-04-09,7.940000,8.080000,7.620000,7.800000,7.800000,3274400
2020-04-13,7.450000,7.460000,7.150000,7.250000,7.250000,4296800
2020-04-14,7.367000,7.620000,7.300000,7.330000,7.330000,2931300
2020-04-15,7.177000,7.240000,7.050000,7.145000,7.145000,2683200
2020-04-16,7.450000,7.690000,7.280000,7.660000,7.660000,3216800
2020-04-17,7.640000,7.670000,7.200000,7.490000,7.490000,2823500
2020-04-20,7.569000,7.770000,7.170000,7.300000,7.300000,3809600
2020-04-21,7.197000,7.500000,7.030000,7.440000,7.440000,3266400
2020-04-22,7.650000,7.750000,7.520000,7.700000,7.700000,3524100
2020-04-23,7.760000,8.630000,7.750000,8.615000,8.615000,7440500
2020-04-24,8.590000,8.680000,8.200000,8.550000,8.550000,4186100
2020-04-27,8.800000,8.810000,8.630000,8.795000,8.795000,3791900
2020-04-28,8.840000,8.870000,8.360000,8.400000,8.400000,4546100
2020-04-29,9.060000,9.950000,9.060000,9.600000,9.600000,9907000
2020-04-30,9.647000,10.030000,9.430000,9.870000,9.870000,8234600
2020-05-01,10.000000,10.000000,9.430000,9.465000,9.465000,4831800
2020-05-04,9.590000,10.100000,9.550000,9.970000,9.970000,4594700
2020-05-05,10.030000,10.200000,9.900000,10.030000,10.030000,4301800
2020-05-06,10.300000,10.760000,10.260000,10.750000,10.750000,5799200
2020-05-07,10.967000,12.290000,10.960000,11.975000,11.975000,13682000
2020-05-08,12.100000,12.380000,11.160000,11.450000,11.450000,12475400
2020-05-11,10.750000,11.040000,9.670000,10.290000,10.290000,13307500
2020-05-12,10.500000,11.260000,10.330000,10.630000,10.630000,8984000
2020-05-13,11.260000,11.550000,10.820000,11.210000,11.210000,7497600
2020-05-14,12.190000,12.190000,11.600000,11.800000,11.800000,6486600
2020-05-15,11.730000,11.750000,10.900000,11.050000,11.050000,5911500
2020-05-18,11.520000,11.730000,11.330000,11.410000,11.410000,4671800
2020-05-19,11.510000,11.550000,11.260000,11.410000,11.410000,2748800
2020-05-20,11.640000,11.680000,10.870000,11.225000,11.225000,4881100
2020-05-21,11.000000,11.000000,10.050000,10.580000,10.580000,7531200
2020-05-22,10.550000,10.900000,10.420000,10.660000,10.660000,3227700
2020-05-26,10.490000,10.490000,9.980000,10.180000,10.180000,4649000
2020-05-27,10.510000,10.870000,10.450000,10.540000,10.540000,3326900
2020-05-28,10.810000,11.140000,10.750000,10.880000,10.880000,3222800
2020-05-29,10.910000,10.970000,10.650000,10.890000,10.890000,2068100
2020-06-01,11.100000,11.340000,11.090000,11.280000,11.280000,3167700
2020-06-02,11.940000,12.460000,10.870000,11.415000,11.415000,11056600
2020-06-03,11.440000,11.540000,11.250000,11.340000,11.340000,3336400
2020-06-04,11.520000,11.750000,11.500000,11.730000,11.730000,3913000
2020-06-05,11.700000,11.710000,11.240000,11.255000,11.255000,3858000
2020-06-08,11.280000,11.600000,11.240000,11.580000,11.580000,3926000
2020-06-09,11.650000,11.680000,11.320000,11.530000,11.530000,2742200
2020-06-10,11.490000,12.560000,11.450000,12.295000,12.295000,9237000
2020-06-11,11.960000,12.000000,10.580000,10.800000,10.800000,11061100
2020-06-12,11.120000,11.400000,10.600000,10.880000,10.880000,4188700
2020-06-15,10.330000,10.970000,10.110000,10.890000,10.890000,3916100
2020-06-16,11.200000,11.250000,10.830000,10.905000,10.905000,2590000
2020-06-17,10.950000,10.990000,10.700000,10.700000,10.700000,2074100
2020-06-18,10.700000,10.750000,10.400000,10.580000,10.580000,2423300
2020-06-19,10.600000,10.620000,10.280000,10.310000,10.310000,2939200
2020-06-22,10.630000,11.040000,10.460000,10.565000,10.565000,5250900
2020-06-23,10.490000,10.980000,10.490000,10.945000,10.945000,4290000
2020-06-24,10.500000,10.590000,10.020000,10.200000,10.200000,5671900
2020-06-25,10.140000,10.250000,10.000000,10.140000,10.140000,3515800
2020-06-26,10.000000,10.050000,9.470000,9.700000,9.700000,7008300
2020-06-29,9.570000,9.630000,9.180000,9.490000,9.490000,4671200
